code,duration_hours,device_limit,valid_from,valid_until,is_claimed
6800391,1,2,2026-09-03,2027-09-03,false
7000755,1,2,2026-09-03,2027-09-03,false
8160081,1,2,2026-09-03,2027-09-03,false
5604624,1,2,2026-09-03,2027-09-03,false
9384268,1,2,2026-09-03,2027-09-03,false
7076469,1,2,2026-09-03,2027-09-03,false
5367396,1,2,2026-09-03,2027-09-03,false
0533949,1,2,2026-09-03,2027-09-03,false
6076909,1,2,2026-09-03,2027-09-03,false
0919194,1,2,2026-09-03,2027-09-03,false
6321504,1,2,2026-09-03,2027-09-03,false
3203677,1,2,2026-09-03,2027-09-03,false
0885958,1,2,2026-09-03,2027-09-03,false
0083907,1,2,2026-09-03,2027-09-03,false
5234069,1,2,2026-09-03,2027-09-03,false
8864986,1,2,2026-09-03,2027-09-03,false
5624771,1,2,2026-09-03,2027-09-03,false
6107198,1,2,2026-09-03,2027-09-03,false
1105562,1,2,2026-09-03,2027-09-03,false
8827969,1,2,2026-09-03,2027-09-03,false
9987867,1,2,2026-09-03,2027-09-03,false
3178783,1,2,2026-09-03,2027-09-03,false
3396979,1,2,2026-09-03,2027-09-03,false
8385993,1,2,2026-09-03,2027-09-03,false
5805542,1,2,2026-09-03,2027-09-03,false
1918746,1,2,2026-09-03,2027-09-03,false
9056251,1,2,2026-09-03,2027-09-03,false
8505364,1,2,2026-09-03,2027-09-03,false
6625111,1,2,2026-09-03,2027-09-03,false
9802494,1,2,2026-09-03,2027-09-03,false
2087510,1,2,2026-09-03,2027-09-03,false
0729984,1,2,2026-09-03,2027-09-03,false
9798742,1,2,2026-09-03,2027-09-03,false
0357913,1,2,2026-09-03,2027-09-03,false
5540614,1,2,2026-09-03,2027-09-03,false
3641207,1,2,2026-09-03,2027-09-03,false
9726534,1,2,2026-09-03,2027-09-03,false
2754686,1,2,2026-09-03,2027-09-03,false
9971402,1,2,2026-09-03,2027-09-03,false
1619076,1,2,2026-09-03,2027-09-03,false
0577064,1,2,2026-09-03,2027-09-03,false
3168317,1,2,2026-09-03,2027-09-03,false
1690766,1,2,2026-09-03,2027-09-03,false
7036737,1,2,2026-09-03,2027-09-03,false
2545325,1,2,2026-09-03,2027-09-03,false
0920586,1,2,2026-09-03,2027-09-03,false
0729064,1,2,2026-09-03,2027-09-03,false
8233828,1,2,2026-09-03,2027-09-03,false
8248156,1,2,2026-09-03,2027-09-03,false
2084168,1,2,2026-09-03,2027-09-03,false
5433478,1,2,2026-09-03,2027-09-03,false
4469822,1,2,2026-09-03,2027-09-03,false
9503911,1,2,2026-09-03,2027-09-03,false
7064568,1,2,2026-09-03,2027-09-03,false
3159900,1,2,2026-09-03,2027-09-03,false
0003120,1,2,2026-09-03,2027-09-03,false
1061608,1,2,2026-09-03,2027-09-03,false
4098655,1,2,2026-09-03,2027-09-03,false
5055754,1,2,2026-09-03,2027-09-03,false
8553949,1,2,2026-09-03,2027-09-03,false
1948472,1,2,2026-09-03,2027-09-03,false
1281163,1,2,2026-09-03,2027-09-03,false
7879201,1,2,2026-09-03,2027-09-03,false
9289966,1,2,2026-09-03,2027-09-03,false
3960823,1,2,2026-09-03,2027-09-03,false
7314606,1,2,2026-09-03,2027-09-03,false
5126827,1,2,2026-09-03,2027-09-03,false
9297064,1,2,2026-09-03,2027-09-03,false
2777444,1,2,2026-09-03,2027-09-03,false
4817708,1,2,2026-09-03,2027-09-03,false
4458161,1,2,2026-09-03,2027-09-03,false
5618567,1,2,2026-09-03,2027-09-03,false
3052051,1,2,2026-09-03,2027-09-03,false
8240923,1,2,2026-09-03,2027-09-03,false
9458481,1,2,2026-09-03,2027-09-03,false
5166508,1,2,2026-09-03,2027-09-03,false
3490571,1,2,2026-09-03,2027-09-03,false
7653774,1,2,2026-09-03,2027-09-03,false
3524145,1,2,2026-09-03,2027-09-03,false
6445688,1,2,2026-09-03,2027-09-03,false
8321014,1,2,2026-09-03,2027-09-03,false
0282448,1,2,2026-09-03,2027-09-03,false
2310001,1,2,2026-09-03,2027-09-03,false
3278203,1,2,2026-09-03,2027-09-03,false
2301425,1,2,2026-09-03,2027-09-03,false
7162170,1,2,2026-09-03,2027-09-03,false
2841609,1,2,2026-09-03,2027-09-03,false
8500293,1,2,2026-09-03,2027-09-03,false
5683672,1,2,2026-09-03,2027-09-03,false
3484986,1,2,2026-09-03,2027-09-03,false
0366981,1,2,2026-09-03,2027-09-03,false
8194272,1,2,2026-09-03,2027-09-03,false
5659950,1,2,2026-09-03,2027-09-03,false
7599373,1,2,2026-09-03,2027-09-03,false
9663331,1,2,2026-09-03,2027-09-03,false
4996427,1,2,2026-09-03,2027-09-03,false
5084120,1,2,2026-09-03,2027-09-03,false
9476225,1,2,2026-09-03,2027-09-03,false
2512774,1,2,2026-09-03,2027-09-03,false
6277011,1,2,2026-09-03,2027-09-03,false
6075335,1,2,2026-09-03,2027-09-03,false
1880168,1,2,2026-09-03,2027-09-03,false
3802288,1,2,2026-09-03,2027-09-03,false
9215093,1,2,2026-09-03,2027-09-03,false
1884162,1,2,2026-09-03,2027-09-03,false
8484224,1,2,2026-09-03,2027-09-03,false
2359545,1,2,2026-09-03,2027-09-03,false
1823926,1,2,2026-09-03,2027-09-03,false
3091590,1,2,2026-09-03,2027-09-03,false
2332445,1,2,2026-09-03,2027-09-03,false
2816510,1,2,2026-09-03,2027-09-03,false
6730030,1,2,2026-09-03,2027-09-03,false
1073232,1,2,2026-09-03,2027-09-03,false
7962458,1,2,2026-09-03,2027-09-03,false
3606741,1,2,2026-09-03,2027-09-03,false
4940370,1,2,2026-09-03,2027-09-03,false
5001824,1,2,2026-09-03,2027-09-03,false
3052844,1,2,2026-09-03,2027-09-03,false
6621008,1,2,2026-09-03,2027-09-03,false
7344620,1,2,2026-09-03,2027-09-03,false
3908566,1,2,2026-09-03,2027-09-03,false
9007897,1,2,2026-09-03,2027-09-03,false
2649098,1,2,2026-09-03,2027-09-03,false
3680225,1,2,2026-09-03,2027-09-03,false
3115960,1,2,2026-09-03,2027-09-03,false
0306041,1,2,2026-09-03,2027-09-03,false
3073215,1,2,2026-09-03,2027-09-03,false
7840922,1,2,2026-09-03,2027-09-03,false
1060591,1,2,2026-09-03,2027-09-03,false
5720935,1,2,2026-09-03,2027-09-03,false
3162203,1,2,2026-09-03,2027-09-03,false
2098698,1,2,2026-09-03,2027-09-03,false
0243599,1,2,2026-09-03,2027-09-03,false
4209051,1,2,2026-09-03,2027-09-03,false
5352340,1,2,2026-09-03,2027-09-03,false
6085772,1,2,2026-09-03,2027-09-03,false
4250288,1,2,2026-09-03,2027-09-03,false
9233865,1,2,2026-09-03,2027-09-03,false
1210378,1,2,2026-09-03,2027-09-03,false
6497403,1,2,2026-09-03,2027-09-03,false
2809725,1,2,2026-09-03,2027-09-03,false
1867861,1,2,2026-09-03,2027-09-03,false
8879426,1,2,2026-09-03,2027-09-03,false
4225332,1,2,2026-09-03,2027-09-03,false
2928326,1,2,2026-09-03,2027-09-03,false
4751389,1,2,2026-09-03,2027-09-03,false
6011219,1,2,2026-09-03,2027-09-03,false
0889026,1,2,2026-09-03,2027-09-03,false
6669787,1,2,2026-09-03,2027-09-03,false
1482573,1,2,2026-09-03,2027-09-03,false
3327977,1,2,2026-09-03,2027-09-03,false
0540184,1,2,2026-09-03,2027-09-03,false
0298620,1,2,2026-09-03,2027-09-03,false
2649529,1,2,2026-09-03,2027-09-03,false
1410747,1,2,2026-09-03,2027-09-03,false
